target,model,fold,rmse,mae,r2
metric_runtime,GradientBoosting,7,0.376354961438114,0.29613311359731653,0.9942823155039756
metric_runtime,GradientBoosting,8,0.3784932789596061,0.29389715370619435,0.9939799069361384
metric_runtime,GradientBoosting,9,0.37887097538535847,0.29750804001306214,0.993897730831203
metric_runtime,XGBoost,0,0.39085498652136014,0.3057890074483001,0.9937110268029544
metric_runtime,XGBoost,1,0.37419373200986433,0.29766772165379346,0.9943549392687125
metric_runtime,XGBoost,2,0.38371494272032547,0.29854635593166046,0.9935028987147088
metric_runtime,XGBoost,3,0.39875970588691545,0.3140963376737452,0.9931962789646193
metric_runtime,XGBoost,4,0.3877200471795988,0.30048125830350303,0.9939614085321409
metric_runtime,XGBoost,5,0.39143858843708285,0.3114912581472321,0.993835106456348
metric_runtime,XGBoost,6,0.38552522781702203,0.30247101112259833,0.9940386967534871
metric_runtime,XGBoost,7,0.3886567819378294,0.30381692723975967,0.9939024215485076
metric_runtime,XGBoost,8,0.39430623748504506,0.30371668219661535,0.993466375736227
metric_runtime,XGBoost,9,0.37528796205118287,0.2939025795007879,0.9940126043685792
metric_runtime,LightGBM,0,0.3711806261574666,0.2908210142669526,0.9943282245321434
metric_runtime,LightGBM,1,0.36595308848761426,0.28872349020023097,0.9946008370482218
metric_runtime,LightGBM,2,0.3703332757769838,0.29342089045240705,0.9939481565269107
metric_runtime,LightGBM,3,0.3749280456279356,0.29669855851686283,0.9939852189812729
metric_runtime,LightGBM,4,0.3682590260569353,0.2910647614226584,0.9945523909124468
metric_runtime,LightGBM,5,0.37843331745325975,0.30187101089142143,0.9942379497941403
metric_runtime,LightGBM,6,0.37788086784581987,0.294905232742037,0.9942727595355456
metric_runtime,LightGBM,7,0.37089590523959404,0.28904764878085215,0.9944469833817742
metric_runtime,LightGBM,8,0.381408154914932,0.29963809973778316,0.9938868252583484
metric_runtime,LightGBM,9,0.3679234329407828,0.2875799417257146,0.994245288106084
metric_valid_error,RandomForest,0,0.014748201454748037,0.00633723046874216,0.987696576933412
metric_valid_error,RandomForest,1,0.011811138070746689,0.005604946556550606,0.9915345405740894
metric_valid_error,RandomForest,2,0.013728254988890373,0.00610691208119317,0.9891900097038256
metric_valid_error,RandomForest,3,0.012331044447123013,0.0059785345585123975,0.9908982449406439
metric_valid_error,RandomForest,4,0.016052519430992774,0.006893877714115682,0.9814796031434361
metric_valid_error,RandomForest,5,0.016133866906115776,0.006554512250948778,0.986317541851309
metric_valid_error,RandomForest,6,0.01493843906337188,0.00606424357073473,0.9873537850957456
metric_valid_error,RandomForest,7,0.015245231094817,0.006300710519337637,0.9853343696946243
metric_valid_error,RandomForest,8,0.013176383752055017,0.006086643516183451,0.9885436871849427
metric_valid_error,RandomForest,9,0.017371555046258126,0.006773212078787017,0.9828497906923006
metric_valid_error,GradientBoosting,0,0.05097593552236007,0.028419098919670142,0.8530132305001292
metric_valid_error,GradientBoosting,1,0.05322118176158084,0.02835618774522609,0.8281157564572428
metric_valid_error,GradientBoosting,2,0.0530582694042783,0.02849342707867986,0.8385266740208542
metric_valid_error,GradientBoosting,3,0.04777975065436087,0.02764871376134318,0.8633488863009251
metric_valid_error,GradientBoosting,4,0.05066916550499416,0.02892076404056817,0.8154766275309135
metric_valid_error,GradientBoosting,5,0.05536024329727876,0.02969267934867442,0.8389045891998776
metric_valid_error,GradientBoosting,6,0.060985838394013246,0.030669531688796905,0.7892303301666774
metric_valid_error,GradientBoosting,7,0.047404539399301886,0.028343712342819235,0.8582011948560333
metric_valid_error,GradientBoosting,8,0.054974448935376834,0.028756805587217448,0.800577496840346
metric_valid_error,GradientBoosting,9,0.05631977569179988,0.028979774785908484,0.8197339826430107
metric_valid_error,XGBoost,0,0.008719873409286445,0.005430892602336709,0.9956990123487566
metric_valid_error,XGBoost,1,0.009379169122086651,0.005395989935493168,0.9946617885347477
metric_valid_error,XGBoost,2,0.009087063858764986,0.005586052012814367,0.9952636717891821
metric_valid_error,XGBoost,3,0.010256892452994253,0.0057845629260690834,0.993702661751358
metric_valid_error,XGBoost,4,0.010758787513854265,0.005964418292609893,0.9916806280698087
metric_valid_error,XGBoost,5,0.012614802237268758,0.006196069828110784,0.991635344072141
metric_valid_error,XGBoost,6,0.0112004164275571,0.00569807992296614,0.9928908372310802
metric_valid_error,XGBoost,7,0.00843012854759452,0.005227353709472921,0.9955156334633815
metric_valid_error,XGBoost,8,0.009441105111978577,0.005504210561517329,0.9941183651376986
metric_valid_error,XGBoost,9,0.010643123637216171,0.005808387798026133,0.9935623072490869
metric_valid_error,LightGBM,0,0.016715086524819858,0.00820445175412654,0.9841960701424115
metric_valid_error,LightGBM,1,0.01790160780942436,0.008169194084416517,0.9805530670693989
metric_valid_error,LightGBM,2,0.02011124219775895,0.008698472044796589,0.9768008313457858
metric_valid_error,LightGBM,3,0.016700878797925135,0.008215625564210028,0.9833043217724753
metric_valid_error,LightGBM,4,0.015901570427855703,0.008535512110916906,0.9818262765925971
metric_valid_error,LightGBM,5,0.018727177665955157,0.008930701225245865,0.9815654793226902
metric_valid_error,LightGBM,6,0.023091188048038384,0.008751075620447251,0.9697836032581801
metric_valid_error,LightGBM,7,0.013709950288522439,0.007910387763295708,0.9881394598197566
metric_valid_error,LightGBM,8,0.017240347206353365,0.008015546254051079,0.9803869827775815
metric_valid_error,LightGBM,9,0.022393171370075984,0.009108632495885841,0.9715014188566853
